date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:47:01	15981148/15981148	---M--	200	added ('OK')	image/png	etag:%2261a6612f-f3da5c%22	https://ninjashoping.xyz/assets/img/shop/RECON%20EXPERT.png	C:/My%20Web%20Sites/ninjashoping.xyz/ninjashoping.xyz/assets/img/shop/RECON%20EXPERT.png	(from https://ninjashoping.xyz/)
13:47:01	15973330/15973330	---M--	200	added ('OK')	image/png	etag:%2261a6612f-f3bbd2%22	https://ninjashoping.xyz/assets/img/shop/All%20Exclusive%20Skins.png	C:/My%20Web%20Sites/ninjashoping.xyz/ninjashoping.xyz/assets/img/shop/All%20Exclusive%20Skins.png	(from https://ninjashoping.xyz/)
13:47:03	15956864/15956864	---M--	200	added ('OK')	image/png	etag:%2261a6612f-f37b80%22	https://ninjashoping.xyz/assets/img/shop/200+%20Skins.png	C:/My%20Web%20Sites/ninjashoping.xyz/ninjashoping.xyz/assets/img/shop/200+%20Skins.png	(from https://ninjashoping.xyz/)
13:47:04	61162/61162	---M--	200	added ('OK')	image/png	etag:%2261a66130-eeea%22	https://ninjashoping.xyz/assets/img/testimonials/main.png	C:/My%20Web%20Sites/ninjashoping.xyz/ninjashoping.xyz/assets/img/testimonials/main.png	(from https://ninjashoping.xyz/)
13:47:05	134161/134161	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261a66130-20c11%22	https://ninjashoping.xyz/assets/vendor/bootstrap/js/bootstrap.bundle.js	C:/My%20Web%20Sites/ninjashoping.xyz/ninjashoping.xyz/assets/vendor/bootstrap/js/bootstrap.bundle.js	(from https://ninjashoping.xyz/)
13:47:05	14690/14690	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261a66130-3962%22	https://ninjashoping.xyz/assets/vendor/aos/aos.js	C:/My%20Web%20Sites/ninjashoping.xyz/ninjashoping.xyz/assets/vendor/aos/aos.js	(from https://ninjashoping.xyz/)
13:47:05	1901/1901	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261a66130-76d%22	https://ninjashoping.xyz/assets/vendor/php-email-form/validate.js	C:/My%20Web%20Sites/ninjashoping.xyz/ninjashoping.xyz/assets/vendor/php-email-form/validate.js	(from https://ninjashoping.xyz/)
13:47:05	135167/135167	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261a66130-20fff%22	https://ninjashoping.xyz/assets/vendor/swiper/swiper-bundle.min.js	C:/My%20Web%20Sites/ninjashoping.xyz/ninjashoping.xyz/assets/vendor/swiper/swiper-bundle.min.js	(from https://ninjashoping.xyz/)
13:47:05	15958209/15958209	---M--	200	added ('OK')	image/png	etag:%2261a6612f-f380c1%22	https://ninjashoping.xyz/assets/img/shop/250+%20Skins.png	C:/My%20Web%20Sites/ninjashoping.xyz/ninjashoping.xyz/assets/img/shop/250+%20Skins.png	(from https://ninjashoping.xyz/)
13:47:05	4905/4905	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261a66130-1329%22	https://ninjashoping.xyz/assets/vendor/purecounter/purecounter.js	C:/My%20Web%20Sites/ninjashoping.xyz/ninjashoping.xyz/assets/vendor/purecounter/purecounter.js	(from https://ninjashoping.xyz/)
